iterations,fitness,time,fevals
0,24.0,0.000933270000001,433
10,25.0,0.001989194,765
20,25.0,0.002533655,1109
30,26.0,0.003076037,1440
40,27.0,0.003609981,1773
50,27.0,0.004154772,2111
60,27.0,0.004830253,2448
70,27.0,0.005385692,2786
80,29.0,0.005946126,3125
90,30.0,0.006522384,3468
100,30.0,0.007013182,3807
110,30.0,0.007447011,4142
120,30.0,0.00784296199999,4474
130,30.0,0.00832877099999,4803
140,30.0,0.00871463999999,5144
150,37.0,0.00914091799999,5478
160,37.0,0.00954322199999,5806
170,38.0,0.00993807099999,6130
180,38.0,0.010411832,6458
190,38.0,0.011554221,6788
200,39.0,0.012064009,7119
210,39.0,0.012660744,7449
220,39.0,0.013499377,7788
230,38.0,0.014181733,8116
240,40.0,0.014572328,8448
250,39.0,0.014995108,8777
260,40.0,0.015361018,9109
270,41.0,0.015749649,9439
280,42.0,0.016148978,9768
290,43.0,0.016560672,10109
300,41.0,0.016944905,10446
310,40.0,0.017321077,10786
320,40.0,0.017701167,11123
330,41.0,0.018095768,11450
340,43.0,0.018510139,11776
350,43.0,0.019003707,12112
360,42.0,0.019530052,12437
370,42.0,0.019953426,12758
380,43.0,0.020620185,13091
390,42.0,0.021386487,13428
400,44.0,0.022588644,13764
410,41.0,0.023207546,14097
420,42.0,0.023784052,14435
430,42.0,0.024316893,14778
440,43.0,0.024855824,15120
450,43.0,0.025365938,15452
460,43.0,0.025903615,15785
470,44.0,0.026456246,16123
480,43.0,0.027010696,16455
490,42.0,0.027913418,16784
500,44.0,0.028901727,17119
510,43.0,0.02941002,17449
520,43.0,0.029995897,17785
530,43.0,0.030624982,18118
540,43.0,0.031314045,18455
550,43.0,0.031872319,18791
560,43.0,0.032458895,19136
570,44.0,0.033042444,19463
580,43.0,0.033611818,19801
590,43.0,0.034167998,20129
600,43.0,0.034696241,20468
610,45.0,0.035198627,20798
620,44.0,0.035988554,21124
630,43.0,0.036839871,21467
640,43.0,0.037405889,21796
650,45.0,0.038109236,22134
660,44.0,0.038994807,22472
670,45.0,0.039618597,22800
680,47.0,0.040140975,23136
690,46.0,0.040715164,23483
700,46.0,0.041320535,23805
710,48.0,0.041989498,24143
720,47.0,0.04263411,24479
730,48.0,0.043303684,24807
740,48.0,0.043946591,25154
750,49.0,0.04450363,25490
760,49.0,0.045055126,25823
770,49.0,0.045584743,26157
780,49.0,0.046154937,26479
790,50.0,0.046708982,26820
800,49.0,0.047373819,27159
810,49.0,0.048511196,27495
820,50.0,0.049069507,27832
830,50.0,0.049762039,28171
840,52.0,0.050713066,28509
850,51.0,0.051282539,28842
860,51.0,0.051859909,29178
870,51.0,0.052438456,29521
880,51.0,0.05299073,29855
890,51.0,0.053508655,30186
900,51.0,0.054024168,30531
910,51.0,0.054612907,30861
920,51.0,0.055185356,31190
930,51.0,0.055863842,31534
940,50.0,0.05640497,31863
950,50.0,0.056992416,32194
960,50.0,0.057570398,32524
970,50.0,0.058095456,32865
980,50.0,0.058653789,33200
990,52.0,0.059196475,33534
1000,51.0,0.059875024,33854
1010,50.0,0.060979379,34190
1020,51.0,0.061399688,34525
1030,52.0,0.06191282,34849
1040,53.0,0.062646816,35178
1050,51.0,0.063580883,35519
1060,51.0,0.064134575,35849
1070,51.0,0.064638082,36187
1080,52.0,0.065157696,36518
1090,52.0,0.06574511,36864
1100,52.0,0.066365344,37192
1110,51.0,0.06698655,37529
1120,52.0,0.067611237,37868
1130,51.0,0.068184017,38196
1140,51.0,0.068760708,38531
1150,54.0,0.069361906,38860
1160,53.0,0.0699583,39191
1170,54.0,0.070448006,39529
1180,51.0,0.071015915,39872
1190,50.0,0.071689024,40207
1200,51.0,0.072858404,40529
1210,52.0,0.073348832,40863
1220,51.0,0.073838379,41195
1230,53.0,0.074341282,41531
1240,53.0,0.074891545,41863
1250,51.0,0.075920549,42199
1260,53.0,0.076741058,42533
1270,53.0,0.077262402,42874
1280,52.0,0.077842108,43213
1290,54.0,0.078375914,43546
1300,59.0,0.078886536,43883
1310,54.0,0.07952899,44225
1320,54.0,0.080108304,44570
1330,54.0,0.080743631,44894
1340,54.0,0.081189475,45229
1350,53.0,0.081611941,45564
1360,58.0,0.082093215,45897
1370,53.0,0.082630906,46220
1380,57.0,0.083064302,46560
1390,57.0,0.083520969,46899
1400,57.0,0.083892551,47222
1410,56.0,0.084309917,47563
1420,57.0,0.084857536,47891
1430,56.0,0.085842953,48223
1440,56.0,0.086262937,48551
1450,54.0,0.086680606,48895
1460,55.0,0.08714721,49216
1470,55.0,0.087675167,49551
1480,55.0,0.088627763,49881
1490,65.0,0.089392734,50216
1500,65.0,0.089756342,50552
1510,65.0,0.090140657,50876
1520,67.0,0.090516985,51212
1530,67.0,0.090880463,51545
1540,67.0,0.091266593,51883
1550,67.0,0.091653856,52216
1560,69.0,0.092021418,52558
1570,67.0,0.092418211,52895
1580,68.0,0.092821112,53223
1590,66.0,0.093346735,53565
1600,66.0,0.093873432,53905
1610,67.0,0.094431517,54239
1620,67.0,0.095068501,54578
1630,66.0,0.09580512,54915
1640,66.0,0.096516811,55250
1650,67.0,0.097613548,55582
1660,68.0,0.098136889,55915
1670,66.0,0.098688617,56254
1680,67.0,0.099247235,56583
1690,67.0,0.099763244,56915
1700,65.0,0.100284664,57250
1710,67.0,0.100846015,57582
1720,65.0,0.101422786,57911
1730,65.0,0.102459521,58241
1740,65.0,0.103168959,58586
1750,65.0,0.103696747,58913
1760,68.0,0.104208572,59244
1770,66.0,0.104717754,59572
1780,66.0,0.105275271,59909
1790,66.0,0.105900569,60235
1800,66.0,0.106477154,60572
1810,66.0,0.107059574,60901
1820,64.0,0.107589472,61240
1830,64.0,0.10821946,61562
1840,65.0,0.108712949,61888
1850,63.0,0.109233011,62222
1860,63.0,0.109771484,62557
1870,62.0,0.110274834,62886
1880,63.0,0.110800512,63216
1890,62.0,0.111771823,63555
1900,62.0,0.112421917,63892
1910,62.0,0.112826479,64214
1920,62.0,0.113238413,64550
1930,62.0,0.114108759,64879
1940,62.0,0.115061797,65215
1950,64.0,0.115583009,65555
1960,63.0,0.116060953,65879
1970,64.0,0.11657962,66207
1980,65.0,0.117089984,66538
1990,64.0,0.117590019,66864
2000,65.0,0.118214596,67193
2010,66.0,0.118850074,67526
2020,65.0,0.119430196,67870
2030,65.0,0.119928006,68209
2040,65.0,0.120520076,68542
2050,65.0,0.121061672,68878
2060,64.0,0.121635143,69211
2070,64.0,0.122151683,69541
2080,65.0,0.122647238,69878
2090,65.0,0.123339151,70216
2100,65.0,0.124296362,70548
2110,66.0,0.124821261,70884
2120,65.0,0.125311994,71210
2130,65.0,0.125858103,71536
2140,65.0,0.126946941,71876
2150,66.0,0.127845581,72213
2160,65.0,0.128382155,72542
2170,66.0,0.128885843,72869
2180,65.0,0.129394338,73211
2190,65.0,0.129945044,73554
2200,65.0,0.130577623,73896
2210,67.0,0.131176658,74230
2220,67.0,0.13191878,74563
2230,67.0,0.132507196,74895
2240,67.0,0.133068609,75212
2250,66.0,0.133594837,75555
2260,67.0,0.134119441,75899
2270,69.0,0.13463274,76233
2280,67.0,0.135163071,76563
2290,67.0,0.135679187,76902
2300,68.0,0.136424462,77230
2310,70.0,0.137411735,77555
2320,70.0,0.137974779,77887
2330,71.0,0.138578663,78222
2340,71.0,0.139495999,78556
2350,70.0,0.140168774,78878
2360,70.0,0.140685301,79205
2370,70.0,0.14121059,79537
2380,71.0,0.141718297,79873
2390,77.0,0.142203182,80213
2400,71.0,0.142658488,80553
2410,73.0,0.14317437,80888
2420,72.0,0.143656485,81229
2430,73.0,0.144142157,81563
2440,72.0,0.144731846,81892
2450,73.0,0.145287807,82225
2460,73.0,0.145996607,82565
2470,72.0,0.146745762,82887
2480,72.0,0.147848567,83222
2490,72.0,0.14841709,83552
2500,72.0,0.149010501,83895
2510,73.0,0.149566828,84219
2520,73.0,0.150037513,84563
2530,73.0,0.15055655,84892
2540,73.0,0.15107396,85224
2550,72.0,0.151738774,85571
2560,72.0,0.152648893,85920
2570,72.0,0.153184802,86253
2580,72.0,0.153697114,86589
2590,71.0,0.154178542,86923
2600,74.0,0.154725984,87251
2610,74.0,0.155225291,87579
2620,74.0,0.155691255,87920
2630,74.0,0.156213794,88254
2640,75.0,0.156732439,88602
2650,76.0,0.157201535,88937
2660,76.0,0.157671945,89276
2670,76.0,0.158140418,89607
2680,77.0,0.158670676,89956
2690,79.0,0.159748611,90297
2700,79.0,0.160299404,90637
2710,79.0,0.160765647,90975
2720,79.0,0.161195727,91297
2730,79.0,0.161703378,91632
2740,79.0,0.162350513,91960
2750,80.0,0.162904833,92285
2760,83.0,0.163641179,92621
2770,77.0,0.164235925,92943
2780,76.0,0.164766502,93279
2790,74.0,0.165287006,93614
2800,75.0,0.165791022,93951
2810,75.0,0.166324311,94289
2820,74.0,0.16682416,94618
2830,75.0,0.167251148,94962
2840,75.0,0.167786325,95297
2850,71.0,0.168866646,95628
2860,70.0,0.169297238,95982
2870,71.0,0.169700517,96315
2880,74.0,0.170098453,96649
2890,75.0,0.170489291,96992
2900,72.0,0.170890625,97323
2910,72.0,0.171978539,97667
2920,75.0,0.172535734,97998
2930,79.0,0.173220207,98340
2940,77.0,0.173882608,98668
2950,74.0,0.174510653,99003
2960,77.0,0.175080218,99331
2970,78.0,0.175690973,99667
2980,78.0,0.176232793,99994
2990,79.0,0.176782587,100336
3000,79.0,0.177329634,100669
3010,78.0,0.177785778,101007
3020,79.0,0.178634954,101343
3030,78.0,0.179593082,101675
3040,78.0,0.180034896,102016
3050,77.0,0.180482221,102353
3060,78.0,0.180869163,102680
3070,78.0,0.181348609,103007
3080,77.0,0.181731857,103353
3090,77.0,0.182101148,103684
3100,78.0,0.182532262,104007
3110,78.0,0.183054184,104342
3120,77.0,0.184061898,104664
3130,78.0,0.184774461,104997
3140,79.0,0.185469641,105323
3150,79.0,0.185910865,105662
3160,78.0,0.186489296,106002
3170,77.0,0.18699058,106343
3180,77.0,0.187456339,106674
3190,76.0,0.187975589,107000
3200,77.0,0.188519512,107336
3210,77.0,0.189016373,107673
3220,77.0,0.189510152,108007
3230,77.0,0.190033839,108343
3240,77.0,0.190621233,108682
3250,79.0,0.191609377,109012
3260,79.0,0.192314551,109346
3270,79.0,0.192786189,109682
3280,79.0,0.193302168,109995
3290,78.0,0.193832933,110341
3300,79.0,0.194354465,110672
3310,80.0,0.194866546,110997
3320,81.0,0.195376231,111332
3330,80.0,0.196128695,111669
3340,80.0,0.196970642,112003
3350,80.0,0.197636965,112341
3360,80.0,0.198211863,112676
3370,80.0,0.198880721,113018
3380,80.0,0.199445642,113357
3390,79.0,0.199865409,113697
3400,79.0,0.200335565,114042
3410,80.0,0.200924608,114380
3420,78.0,0.207770978,114723
3430,77.0,0.208302112,115063
3440,78.0,0.208773708,115392
3450,78.0,0.20928159,115715
3460,77.0,0.210076339,116062
3470,77.0,0.21084776,116392
3480,77.0,0.21125868,116717
3490,77.0,0.211721002,117056
3500,77.0,0.212191207,117393
3510,77.0,0.212593908,117723
3520,77.0,0.213005088,118059
3530,77.0,0.213383702,118409
3540,76.0,0.21385835,118741
3550,77.0,0.214371119,119076
3560,77.0,0.21497239,119401
3570,76.0,0.215805191,119748
3580,76.0,0.216455277,120087
3590,76.0,0.216928274,120418
3600,76.0,0.217398981,120751
3610,76.0,0.217894043,121095
3620,76.0,0.218387067,121440
3630,77.0,0.218952858,121777
3640,76.0,0.219564875,122120
3650,76.0,0.22013291,122458
3660,77.0,0.220632049,122800
3670,77.0,0.221022147,123125
3680,78.0,0.221407477,123455
3690,77.0,0.221949287,123803
3700,77.0,0.222379674,124136
3710,78.0,0.222756423,124468
3720,78.0,0.223143599,124810
3730,77.0,0.223512387,125138
3740,77.0,0.223870055,125484
3750,77.0,0.224279133,125822
3760,76.0,0.224964041,126149
3770,76.0,0.22575351,126489
3780,76.0,0.226126486,126833
3790,76.0,0.226493313,127163
3800,77.0,0.226876431,127500
3810,77.0,0.227562647,127830
3820,77.0,0.228297469,128168
3830,77.0,0.228801262,128499
3840,76.0,0.229204319,128839
3850,78.0,0.229579605,129178
3860,78.0,0.229938113,129526
3870,77.0,0.230318287,129845
3880,76.0,0.230654184,130176
3890,76.0,0.231026563,130512
3900,77.0,0.231380229,130852
3910,76.0,0.231750129,131185
3920,76.0,0.23209806,131513
3930,78.0,0.232437945,131840
3940,76.0,0.232772515,132182
3950,75.0,0.233149972,132519
3960,78.0,0.233493402,132846
3970,77.0,0.233944717,133189
3980,77.0,0.234394884,133529
3990,76.0,0.234815498,133865
4000,78.0,0.235276558,134186
4010,78.0,0.23575231,134522
4020,78.0,0.236333287,134852
4030,78.0,0.236906684,135177
4040,78.0,0.237462992,135510
4050,79.0,0.237991101,135855
4060,79.0,0.238353662,136184
4070,78.0,0.238753419,136520
4080,80.0,0.239113442,136856
4090,78.0,0.239489703,137189
4100,79.0,0.239824046,137525
4110,79.0,0.24019911,137856
4120,77.0,0.240540077,138185
4130,78.0,0.240940118,138516
4140,78.0,0.241284887,138853
4150,78.0,0.241664087,139194
4160,78.0,0.242027833,139530
4170,78.0,0.242388642,139863
4180,78.0,0.242727778,140203
4190,78.0,0.243062479,140541
4200,79.0,0.2433914,140870
4210,78.0,0.243717322,141200
4220,78.0,0.244083458,141534
4230,78.0,0.244449112,141858
4240,78.0,0.244817532,142184
4250,78.0,0.245155333,142513
4260,78.0,0.245556223,142855
4270,77.0,0.246011176,143192
4280,77.0,0.246476642,143536
4290,77.0,0.247052826,143878
4300,78.0,0.247635528,144201
4310,78.0,0.248122333,144537
4320,79.0,0.248680804,144876
4330,80.0,0.249281125,145207
4340,80.0,0.250624689,145538
4350,80.0,0.251147789,145859
4360,80.0,0.251672584,146200
4370,80.0,0.252189609,146527
4380,80.0,0.252698045,146879
4390,80.0,0.253210768,147200
4400,79.0,0.253652454,147533
4410,81.0,0.254171337,147869
4420,80.0,0.254989793,148195
4430,80.0,0.255883891,148515
4440,80.0,0.256366799,148842
4450,82.0,0.256831539,149171
4460,83.0,0.257268899,149503
4470,82.0,0.257869609,149846
4480,80.0,0.258429018,150186
4490,80.0,0.259057498,150525
4500,80.0,0.259634868,150867
4510,79.0,0.260090856,151193
4520,79.0,0.260690967,151523
4530,81.0,0.261193866,151851
4540,80.0,0.261677024,152184
4550,81.0,0.262188923,152519
4560,79.0,0.262743982,152852
4570,80.0,0.2634279,153192
4580,81.0,0.264454199,153541
4590,81.0,0.265424576,153888
4600,81.0,0.266012423,154215
4610,81.0,0.266511429,154549
4620,80.0,0.266975592,154886
4630,80.0,0.267468445,155227
4640,80.0,0.267986919,155572
4650,81.0,0.268466171,155909
4660,81.0,0.268956601,156245
4670,81.0,0.269361667,156561
4680,81.0,0.269825092,156906
4690,81.0,0.270327705,157253
4700,81.0,0.27099414,157580
4710,81.0,0.271540984,157916
4720,81.0,0.272146524,158254
4730,81.0,0.272627069,158590
4740,82.0,0.273183301,158940
4750,81.0,0.273697856,159280
4760,81.0,0.274240564,159613
4770,81.0,0.274712804,159950
4780,80.0,0.275177854,160275
4790,81.0,0.275697876,160604
4800,81.0,0.276300488,160933
4810,81.0,0.277386593,161273
4820,81.0,0.27830166,161597
4830,80.0,0.278876912,161924
4840,80.0,0.279349195,162263
4850,80.0,0.279851647,162607
4860,80.0,0.28037829,162937
4870,80.0,0.280837614,163262
4880,79.0,0.281271901,163599
4890,79.0,0.281766214,163930
4900,79.0,0.282258747,164278
4910,80.0,0.282846616,164620
4920,79.0,0.283323833,164969
4930,79.0,0.283849284,165308
4940,79.0,0.284493736,165634
4950,79.0,0.285050537,165967
4960,78.0,0.285555001,166298
4970,80.0,0.286044645,166627
4980,80.0,0.28654309,166965
4990,80.0,0.286894335,167303
5000,80.0,0.287301455,167635
