iterations,fitness,time,fevals
0,26.0,0.082859707,1000
10,37.0,0.157025048,2100
20,39.0,0.225394561,3200
30,39.0,0.292605364,4300
40,45.0,0.363463765,5400
50,46.0,0.429459288,6500
60,48.0,0.489045139,7600
70,51.0,0.552131168,8700
80,51.0,0.612973889,9800
90,49.0,0.673567551,10900
100,52.0,0.732158432,12000
110,53.0,0.788741477,13100
120,51.0,0.848833254,14200
130,54.0,0.907367955,15300
140,54.0,0.964627609,16400
150,55.0,1.02184951,17500
160,54.0,1.081536798,18600
170,54.0,1.140751819,19700
180,54.0,1.201136067,20800
190,52.0,1.261453204,21900
200,54.0,1.320394466,23000
210,52.0,1.376711268,24100
220,54.0,1.434924834,25200
230,52.0,1.494619931,26300
240,52.0,1.554708231,27400
250,52.0,1.615362625,28500
260,54.0,1.674433476,29600
270,54.0,1.733625361,30700
280,51.0,1.790893013,31800
290,54.0,1.849934086,32900
300,52.0,1.906468528,34000
310,53.0,1.964142342,35100
320,54.0,2.019845871,36200
330,54.0,2.077467913,37300
340,53.0,2.13606165,38400
350,51.0,2.192060117,39500
360,53.0,2.250666883,40600
370,54.0,2.30733278,41700
380,54.0,2.364169279,42800
390,52.0,2.423215635,43900
400,51.0,2.478587645,45000
410,53.0,2.534489138,46100
420,54.0,2.592039101,47200
430,54.0,2.649315958,48300
440,52.0,2.707686918,49400
450,55.0,2.766911621,50500
460,55.0,2.824875734,51600
470,53.0,2.885148881,52700
480,54.0,2.945352441,53800
490,55.0,3.003742295,54900
500,54.0,3.06196584,56000
510,55.0,3.117831871,57100
520,57.0,3.174843092,58200
530,56.0,3.232434382,59300
540,59.0,3.290629848,60400
550,61.0,3.348861904,61500
560,60.0,3.405851633,62600
570,61.0,3.463637632,63700
580,60.0,3.521123234,64800
590,59.0,3.578208074,65900
600,58.0,3.63510696,67000
610,60.0,3.692106606,68100
620,60.0,3.752599728,69200
630,59.0,3.809521799,70300
640,60.0,3.865619816,71400
650,60.0,3.923478707,72500
660,59.0,3.982538789,73600
670,61.0,4.040512749,74700
680,59.0,4.098903868,75800
690,58.0,4.156482612,76900
700,60.0,4.213741908,78000
710,60.0,4.272483779,79100
720,58.0,4.330995427,80200
730,59.0,4.405708384,81300
740,61.0,4.490516136,82400
750,56.0,4.573063455,83500
760,60.0,4.646156386,84600
770,60.0,4.715723551,85700
780,60.0,4.774564362,86800
790,58.0,4.833455655,87900
800,57.0,4.891387693,89000
810,61.0,4.949347643,90100
820,59.0,5.007532271,91200
830,57.0,5.063461137,92300
840,58.0,5.120963137,93400
850,61.0,5.178928934,94500
860,59.0,5.235965366,95600
870,58.0,5.301005123,96700
880,64.0,5.362767922,97800
890,58.0,5.420824634,98900
900,60.0,5.477195625,100000
910,58.0,5.533852512,101100
920,58.0,5.591196924,102200
930,60.0,5.65062336,103300
940,58.0,5.71306652,104400
950,60.0,5.77397489,105500
960,60.0,5.832172198,106600
970,61.0,5.890131155,107700
980,58.0,5.950513311,108800
990,60.0,6.008433082,109900
1000,61.0,6.067585735,111000
1010,61.0,6.124679349,112100
1020,61.0,6.184305784,113200
1030,61.0,6.245081807,114300
1040,59.0,6.304008985,115400
1050,61.0,6.36105631,116500
1060,60.0,6.417800313,117600
1070,60.0,6.474246408,118700
1080,64.0,6.531826477,119800
1090,62.0,6.587639143,120900
1100,61.0,6.646120343,122000
1110,60.0,6.703340866,123100
1120,64.0,6.760691006,124200
1130,60.0,6.819460225,125300
1140,58.0,6.876929692,126400
1150,61.0,6.93440021,127500
1160,60.0,6.994447822,128600
1170,61.0,7.052436121,129700
1180,59.0,7.10928765,130800
1190,60.0,7.16699197,131900
1200,61.0,7.223682631,133000
1210,59.0,7.283213529,134100
1220,61.0,7.343103251,135200
1230,59.0,7.40019067,136300
1240,60.0,7.458128962,137400
1250,60.0,7.517151359,138500
1260,60.0,7.575716068,139600
1270,59.0,7.631985039,140700
1280,60.0,7.688893989,141800
1290,60.0,7.74697795,142900
1300,59.0,7.804663724,144000
1310,59.0,7.863003486,145100
1320,57.0,7.920309168,146200
1330,61.0,7.978172855,147300
1340,61.0,8.035205326,148400
1350,61.0,8.09313181,149500
1360,59.0,8.154657645,150600
1370,58.0,8.215481368,151700
1380,60.0,8.273112255,152800
1390,60.0,8.330221536,153900
1400,61.0,8.389490556,155000
1410,61.0,8.44633292,156100
1420,58.0,8.503995124,157200
1430,58.0,8.561973766,158300
1440,60.0,8.61987614,159400
1450,59.0,8.675990676,160500
1460,60.0,8.733267618,161600
1470,61.0,8.790830456,162700
1480,60.0,8.84960629,163800
1490,60.0,8.909164466,164900
1500,60.0,8.96772872,166000
1510,61.0,9.026400044,167100
1520,60.0,9.08660324,168200
1530,59.0,9.145865322,169300
1540,63.0,9.204333594,170400
1550,60.0,9.262204896,171500
1560,60.0,9.320647056,172600
1570,61.0,9.37854861,173700
1580,61.0,9.436599291,174800
1590,59.0,9.493629201,175900
1600,67.0,9.550989734,177000
1610,61.0,9.608355574,178100
1620,58.0,9.668219531,179200
1630,61.0,9.727628204,180300
1640,59.0,9.786382328,181400
1650,60.0,9.843631625,182500
1660,61.0,9.903286295,183600
1670,60.0,9.962787091,184700
1680,59.0,10.021973359,185800
1690,60.0,10.080296101,186900
