iterations,fitness,time,fevals
0,18.0,4.1934e-05,11
10,18.0,6.51129999999e-05,21
20,18.0,9.66729999999e-05,31
30,18.0,0.000115215,41
40,18.0,0.000133655,51
50,18.0,0.000152853,61
60,18.0,0.000174107,71
70,18.0,0.000192415,81
80,19.0,0.000215226,91
90,19.0,0.00023192,101
100,19.0,0.0002531,111
110,19.0,0.000281756,121
120,19.0,0.000318169,131
130,19.0,0.000340247,141
140,19.0,0.000360785,151
150,19.0,0.000380022,161
160,19.0,0.000398612,171
170,23.0,0.000422272,181
180,23.0,0.000443121,191
190,24.0,0.000463067,201
200,25.0,0.00048474,211
210,25.0,0.000502044,221
220,26.0,0.00052045,231
230,27.0,0.000540586,241
240,27.0,0.000581741,251
250,27.0,0.000600211,261
260,28.0,0.000617177,271
270,28.0,0.000630273,281
280,28.0,0.000642701,291
290,28.0,0.000655841,301
300,28.0,0.000668013,311
310,28.0,0.000682257,321
320,28.0,0.000694551,331
330,28.0,0.000706787,341
340,28.0,0.000719397,351
350,28.0,0.000731384,361
360,28.0,0.000745208,371
370,28.0,0.000758756,381
380,28.0,0.00077101,391
390,28.0,0.00078396,401
400,29.0,0.000796854,411
410,30.0,0.000809782,421
420,30.0,0.000822261,431
430,30.0,0.000834972,441
440,30.0,0.000848624,451
450,30.0,0.000860903,461
460,32.0,0.000874352,471
470,32.0,0.000886928,481
480,32.0,0.000899231,491
490,32.0,0.000919219,501
500,32.0,0.000936625,511
510,32.0,0.000954132,521
520,32.0,0.000972276,531
530,33.0,0.000990748,541
540,33.0,0.001092144,551
550,33.0,0.001132819,561
560,33.0,0.001201731,571
570,33.0,0.001233897,581
580,33.0,0.00125459,591
590,33.0,0.00127226,601
600,33.0,0.001294614,611
610,34.0,0.001312403,621
620,34.0,0.0013319,631
630,34.0,0.001352483,641
640,34.0,0.001371009,651
650,34.0,0.001392309,661
660,34.0,0.001413143,671
670,35.0,0.001445322,681
680,35.0,0.001466738,691
690,35.0,0.001489033,701
700,35.0,0.001510206,711
710,35.0,0.001551362,721
720,35.0,0.001572421,731
730,35.0,0.001597027,741
740,35.0,0.001624566,751
750,35.0,0.001643775,761
760,35.0,0.001729045,771
770,35.0,0.00176693,781
