iterations,fitness,time,fevals
0,538.0,0.006046407,734
10,542.0,0.012334963,1356
20,551.0,0.018115294,1978
30,544.0,0.022940221,2613
40,545.0,0.027467555,3239
50,550.0,0.033146432,3871
60,542.0,0.037029943,4500
70,547.0,0.041490627,5124
80,560.0,0.046476972,5751
90,549.0,0.050730171,6381
100,548.0,0.053974402,7012
110,547.0,0.058762514,7638
120,548.0,0.065138107,8271
130,552.0,0.0684411,8896
140,553.0,0.072003844,9530
150,551.0,0.076633819,10163
160,559.0,0.081010427,10800
170,553.0,0.084327874,11430
180,558.0,0.088781225,12057
190,554.0,0.093404492,12707
200,554.0,0.098275355,13346
210,554.0,0.101870575,13970
220,552.0,0.105930643,14590
230,554.0,0.111353061,15218
240,556.0,0.114875935,15848
250,560.0,0.118373049,16481
260,558.0,0.121814022,17103
270,558.0,0.127163233,17723
280,556.0,0.130621438,18348
290,554.0,0.134954047,18980
300,560.0,0.139437522,19612
310,554.0,0.144508115,20245
320,558.0,0.147890029,20891
330,560.0,0.15244473,21513
340,563.0,0.158730357,22131
350,566.0,0.162248186,22758
360,567.0,0.165935243,23383
370,572.0,0.170101765,24016
380,574.0,0.175524915,24645
390,568.0,0.178504959,25270
400,572.0,0.183216915,25894
410,570.0,0.186975648,26519
420,574.0,0.191374377,27155
430,578.0,0.194823022,27769
440,578.0,0.199117994,28404
450,572.0,0.205352715,29042
460,576.0,0.208987907,29673
470,572.0,0.212391721,30287
480,576.0,0.216597307,30910
490,574.0,0.222752412,31545
500,572.0,0.226265689,32187
510,572.0,0.230961532,32811
520,572.0,0.23670504,33443
530,572.0,0.240051135,34085
540,570.0,0.24449465,34716
550,574.0,0.248373204,35336
560,578.0,0.253162353,35967
570,574.0,0.256585687,36591
580,580.0,0.26059099,37221
590,576.0,0.265100555,37844
600,574.0,0.269750506,38476
610,572.0,0.273115882,39116
620,572.0,0.277243135,39749
630,576.0,0.282852516,40387
640,578.0,0.286260645,41030
650,574.0,0.289471386,41671
660,574.0,0.295014098,42297
670,574.0,0.299222758,42939
680,580.0,0.302148915,43571
690,576.0,0.305413654,44198
700,574.0,0.3108427,44840
710,576.0,0.314567581,45466
720,572.0,0.319209172,46112
730,576.0,0.32403152,46746
740,578.0,0.327930124,47373
750,576.0,0.332126168,48006
760,588.0,0.335639911,48629
770,586.0,0.340757539,49264
780,592.0,0.348608998,49890
790,586.0,0.352439443,50527
800,588.0,0.3577136,51173
810,584.0,0.361495007,51800
820,584.0,0.366404927,52427
830,582.0,0.370791583,53051
840,584.0,0.375078298,53680
850,584.0,0.380160751,54319
860,584.0,0.38369877,54948
870,592.0,0.388087074,55580
880,586.0,0.393442124,56206
890,588.0,0.396122163,56837
900,590.0,0.399618225,57465
910,590.0,0.405384462,58101
920,588.0,0.410255726,58730
930,588.0,0.413356071,59353
940,588.0,0.418298688,59992
950,588.0,0.421678754,60635
960,584.0,0.425693906,61255
970,582.0,0.429685101,61909
980,578.0,0.434631998,62548
990,579.0,0.438059514,63177
1000,578.0,0.444035936,63809
1010,580.0,0.448899863,64442
1020,578.0,0.453028836,65080
1030,580.0,0.45805564,65723
1040,576.0,0.461696857,66356
1050,578.0,0.467196034,66983
1060,578.0,0.473538931,67615
1070,574.0,0.476920094,68254
1080,572.0,0.481740719,68888
1090,570.0,0.486027821,69512
1100,572.0,0.490868765,70136
1110,572.0,0.494465432,70759
1120,572.0,0.500147229,71384
1130,572.0,0.504944358,72016
1140,574.0,0.508501748,72657
1150,572.0,0.514053833,73282
1160,576.0,0.518735169,73908
1170,576.0,0.522148704,74534
1180,578.0,0.526782632,75167
1190,578.0,0.531782102,75797
1200,580.0,0.536530749,76443
1210,574.0,0.540689276,77065
1220,576.0,0.545104124,77701
1230,578.0,0.550183795,78321
1240,574.0,0.553992103,78947
1250,576.0,0.558054042,79578
1260,576.0,0.562103806,80232
1270,576.0,0.566439136,80869
1280,570.0,0.569478609,81506
1290,570.0,0.573869516,82132
1300,572.0,0.577799613,82767
1310,570.0,0.581931102,83409
1320,568.0,0.58491747,84049
1330,570.0,0.589296796,84692
1340,570.0,0.593834284,85333
1350,570.0,0.598888769,85974
1360,574.0,0.602107326,86610
1370,578.0,0.606397727,87237
1380,582.0,0.612108682,87862
1390,578.0,0.615390683,88483
1400,578.0,0.61977643,89131
1410,578.0,0.624423698,89757
1420,578.0,0.628740722,90381
1430,582.0,0.631884738,91016
1440,582.0,0.635952655,91642
1450,576.0,0.639830661,92271
1460,578.0,0.643851686,92902
1470,576.0,0.646189718,93539
1480,580.0,0.648989052,94168
1490,578.0,0.653271734,94790
1500,578.0,0.65773551,95438
1510,580.0,0.661646833,96081
1520,580.0,0.66513177,96716
1530,580.0,0.669772746,97355
1540,578.0,0.674806464,97979
1550,576.0,0.67810588,98612
1560,578.0,0.682294143,99256
1570,580.0,0.686446892,99895
1580,578.0,0.690822705,100521
1590,582.0,0.694171002,101160
1600,582.0,0.698377658,101781
1610,582.0,0.708779941,102397
1620,580.0,0.71208047,103037
1630,580.0,0.715992289,103672
1640,582.0,0.721204393,104293
1650,584.0,0.724560891,104928
1660,588.0,0.728403262,105559
1670,588.0,0.732560584,106196
1680,586.0,0.737687704,106835
1690,584.0,0.740340523,107471
1700,590.0,0.743481738,108103
1710,586.0,0.74788549,108742
1720,588.0,0.753708884,109375
1730,588.0,0.757122098,110007
1740,590.0,0.761406303,110643
1750,586.0,0.765570177,111271
1760,590.0,0.770410503,111889
1770,590.0,0.773885934,112520
1780,586.0,0.778517042,113153
1790,590.0,0.784057944,113782
1800,588.0,0.78762613,114417
1810,592.0,0.791526305,115047
1820,592.0,0.795051731,115677
1830,590.0,0.800619748,116320
1840,588.0,0.803766512,116938
1850,588.0,0.808291247,117579
1860,590.0,0.812821357,118198
1870,594.0,0.817386079,118830
1880,590.0,0.820848819,119469
1890,590.0,0.825409594,120094
1900,586.0,0.831379539,120719
1910,588.0,0.834797817,121354
1920,590.0,0.839241621,121973
1930,592.0,0.843549739,122599
1940,586.0,0.84772725,123235
1950,586.0,0.851031528,123865
1960,588.0,0.855136186,124506
1970,584.0,0.859081429,125136
1980,582.0,0.864186496,125774
1990,584.0,0.867915754,126409
2000,584.0,0.872093292,127038
2010,586.0,0.876434609,127665
2020,584.0,0.880212811,128290
2030,582.0,0.884009026,128928
2040,580.0,0.888268184,129565
2050,582.0,0.894020585,130190
2060,578.0,0.896804984,130825
2070,576.0,0.900766002,131441
2080,576.0,0.905985686,132073
2090,574.0,0.911217754,132706
2100,574.0,0.914764339,133344
2110,574.0,0.918199423,133985
2120,574.0,0.922780158,134612
2130,574.0,0.928948686,135242
2140,576.0,0.932243443,135874
2150,574.0,0.93725218,136496
2160,572.0,0.942113315,137136
2170,572.0,0.946719495,137769
2180,574.0,0.950713113,138399
2190,574.0,0.956209504,139032
2200,570.0,0.95973995,139667
2210,574.0,0.963086281,140292
2220,572.0,0.967355717,140919
2230,572.0,0.97162398,141536
2240,570.0,0.975293055,142157
2250,572.0,0.978558271,142775
2260,570.0,0.981849404,143390
2270,572.0,0.988390583,144029
2280,574.0,0.991846931,144667
2290,564.0,0.996359199,145294
2300,572.0,1.001164536,145933
2310,570.0,1.005821754,146569
2320,570.0,1.009345052,147200
2330,566.0,1.012340074,147822
2340,566.0,1.016924616,148458
2350,570.0,1.022876779,149090
2360,568.0,1.026755417,149720
2370,568.0,1.030567993,150351
2380,562.0,1.037366133,150981
2390,568.0,1.041240782,151618
2400,572.0,1.044953802,152259
2410,572.0,1.050563347,152907
2420,574.0,1.055727751,153529
2430,574.0,1.063380531,154149
2440,572.0,1.068477046,154786
2450,568.0,1.071856591,155422
2460,566.0,1.076168274,156048
2470,568.0,1.081836814,156685
2480,568.0,1.085272142,157304
2490,568.0,1.08921217,157925
2500,570.0,1.093144457,158556
2510,568.0,1.099174167,159187
2520,570.0,1.102968192,159832
2530,571.0,1.106948898,160465
2540,568.0,1.110682244,161095
2550,570.0,1.115176723,161730
2560,568.0,1.118076811,162358
2570,566.0,1.121352735,162995
2580,567.0,1.125695024,163632
2590,569.0,1.131838573,164246
2600,570.0,1.135642923,164879
2610,570.0,1.139521656,165509
2620,572.0,1.145248424,166150
2630,568.0,1.148303217,166777
2640,572.0,1.151556047,167400
2650,570.0,1.154886387,168014
2660,572.0,1.16072122,168645
2670,568.0,1.163934852,169280
2680,568.0,1.16792931,169904
2690,572.0,1.171550961,170530
2700,566.0,1.177323348,171156
2710,568.0,1.18002042,171773
2720,564.0,1.182902761,172405
2730,566.0,1.186977302,173043
2740,568.0,1.193427922,173672
2750,562.0,1.199599372,174294
2760,566.0,1.203355481,174918
2770,560.0,1.209594944,175534
2780,562.0,1.212441675,176163
2790,564.0,1.216341154,176801
2800,562.0,1.220032353,177434
2810,560.0,1.225853101,178054
2820,562.0,1.229000157,178690
2830,560.0,1.233149994,179323
2840,562.0,1.237771145,179959
2850,564.0,1.242383476,180594
2860,566.0,1.2464313,181221
2870,566.0,1.250318796,181835
2880,566.0,1.256470589,182479
2890,562.0,1.259785779,183126
2900,566.0,1.263694547,183762
2910,564.0,1.26860938,184395
2920,568.0,1.272970286,185025
2930,566.0,1.275317948,185651
2940,562.0,1.278156568,186280
2950,560.0,1.282293302,186908
2960,560.0,1.2874911,187538
2970,560.0,1.291308401,188155
2980,562.0,1.294679732,188787
2990,564.0,1.298862356,189410
3000,564.0,1.305041021,190046
