iterations,fitness,time,fevals
0,566.0,9.917720033,1000
10,592.0,19.542656297,2100
20,634.0,28.425388023,3200
30,668.0,36.791416089,4300
40,696.0,44.201317158,5400
50,720.0,51.366461925,6500
60,744.0,58.318746333,7600
70,758.0,64.899036608,8700
80,765.0,71.312366636,9800
90,760.0,77.672496275,10900
100,760.0,84.058988478,12000
110,768.0,90.382516624,13100
120,766.0,96.670171179,14200
130,766.0,102.918481357,15300
140,766.0,109.134395946,16400
150,766.0,115.426733555,17500
160,768.0,121.657359673,18600
170,764.0,127.919763826,19700
180,770.0,134.161037256,20800
190,766.0,140.476650351,21900
200,766.0,146.923080933,23000
210,770.0,153.6207404,24100
220,769.0,160.194289555,25200
230,770.0,166.550389743,26300
240,770.0,173.088102028,27400
250,772.0,179.380238479,28500
260,772.0,185.627373914,29600
270,774.0,191.87512878,30700
280,776.0,198.087043784,31800
290,772.0,204.242544882,32900
300,772.0,211.286662505,34000
310,776.0,217.918701371,35100
320,774.0,224.447150634,36200
330,772.0,230.824591282,37300
340,776.0,237.436169737,38400
350,778.0,244.678638623,39500
360,776.0,252.306395873,40600
370,774.0,258.89409887,41700
380,774.0,265.091818055,42800
390,774.0,271.341086177,43900
400,774.0,277.52762596,45000
410,774.0,283.764767719,46100
420,772.0,289.93241044,47200
430,776.0,296.196695659,48300
440,772.0,302.514705908,49400
450,772.0,308.695992613,50500
460,774.0,314.933638835,51600
470,772.0,321.264936413,52700
480,774.0,327.960286263,53800
490,776.0,335.10060468,54900
500,772.0,341.929833061,56000
510,774.0,348.414343487,57100
520,776.0,354.827647205,58200
530,772.0,361.140475648,59300
540,774.0,367.50282017,60400
550,778.0,373.862211,61500
560,774.0,380.432434909,62600
570,776.0,387.008277006,63700
580,776.0,393.448518964,64800
590,776.0,399.875426079,65900
600,780.0,406.30979418,67000
610,776.0,412.89045802,68100
620,776.0,419.263644112,69200
630,776.0,425.750636528,70300
640,778.0,432.027957806,71400
650,778.0,438.290094445,72500
660,776.0,444.692123988,73600
670,776.0,451.133188787,74700
680,776.0,457.609397373,75800
690,776.0,463.943889068,76900
700,778.0,470.435490971,78000
710,778.0,476.620925919,79100
720,778.0,483.281457644,80200
730,778.0,489.9548486,81300
