iterations,fitness,time,fevals
0,488.0,0.000125534,11
10,490.0,0.000216384,21
20,494.0,0.000302253,31
30,494.0,0.00041628,41
40,496.0,0.000485931,51
50,498.0,0.00056761,61
60,502.0,0.000822925,71
70,502.0,0.000960089,81
80,504.0,0.001049122,91
90,506.0,0.001180572,101
100,508.0,0.001327087,111
110,510.0,0.001420372,121
120,516.0,0.001503807,131
130,518.0,0.001585412,141
140,518.0,0.001658999,151
150,522.0,0.001735838,161
160,524.0,0.001800874,171
170,526.0,0.001864948,181
180,526.0,0.001947924,191
190,528.0,0.002039811,201
200,528.0,0.002127491,211
210,530.0,0.002216611,221
220,530.0,0.002300795,231
230,530.0,0.002392075,241
240,530.0,0.002531213,251
250,530.0,0.002717577,261
260,530.0,0.002836772,271
270,532.0,0.002942547,281
280,534.0,0.003067073,291
290,534.0,0.003161274,301
300,538.0,0.003247971,311
310,538.0,0.003347542,321
320,538.0,0.003425366,331
330,544.0,0.003506382,341
340,550.0,0.003575851,351
350,552.0,0.00365704,361
360,554.0,0.003733849,371
370,554.0,0.003806758,381
380,558.0,0.003879397,391
390,558.0,0.003945246,401
400,558.0,0.004000865,411
410,566.0,0.00405496,421
420,572.0,0.004122158,431
430,574.0,0.004211626,441
440,574.0,0.004289955,451
450,580.0,0.004371798,461
460,582.0,0.004463395,471
470,582.0,0.004547641,481
480,582.0,0.004624979,491
490,586.0,0.004722093,501
500,588.0,0.004834004,511
510,590.0,0.004976024,521
520,594.0,0.005075658,531
530,596.0,0.005162871,541
540,596.0,0.00525337,551
550,596.0,0.005352692,561
560,598.0,0.005609209,571
570,600.0,0.005886476,581
580,604.0,0.006000905,591
590,608.0,0.006095803,601
600,612.0,0.006181847,611
610,612.0,0.006271738,621
620,612.0,0.006362202,631
630,614.0,0.006453646,641
640,614.0,0.006546827,651
650,616.0,0.006659409,661
660,620.0,0.006778147,671
670,620.0,0.006863207,681
680,620.0,0.006952859,691
690,624.0,0.007098338,701
700,624.0,0.007204937,711
710,626.0,0.007292311,721
720,628.0,0.007365635,731
730,628.0,0.007472816,741
740,630.0,0.00755984,751
750,630.0,0.007642555,761
760,631.0,0.0077723,771
770,633.0,0.007941002,781
780,633.0,0.008047329,791
790,635.0,0.008136341,801
800,637.0,0.008220215,811
810,641.0,0.008298468,821
820,643.0,0.008399593,831
830,645.0,0.008510389,841
840,645.0,0.00858681,851
850,647.0,0.008669984,861
860,649.0,0.008758376,871
870,649.0,0.008847701,881
880,653.0,0.008948379,891
890,653.0,0.009097529,901
900,653.0,0.009203427,911
910,653.0,0.009372043,921
920,655.0,0.009475296,931
930,657.0,0.009577944,941
940,657.0,0.009662849,951
950,657.0,0.009750191,961
960,657.0,0.009830503,971
970,657.0,0.009916134,981
980,657.0,0.010001342,991
990,657.0,0.010135266,1001
1000,657.0,0.010246543,1011
1010,657.0,0.010328082,1021
1020,657.0,0.010427833,1031
1030,657.0,0.010665454,1041
1040,659.0,0.010769829,1051
1050,661.0,0.010858674,1061
1060,663.0,0.010947253,1071
1070,663.0,0.011098343,1081
1080,665.0,0.011184929,1091
1090,667.0,0.011273687,1101
1100,669.0,0.011363075,1111
1110,671.0,0.011440906,1121
1120,671.0,0.011529292,1131
1130,671.0,0.011616961,1141
1140,671.0,0.011709847,1151
1150,671.0,0.025780503,1161
1160,675.0,0.02583391,1171
1170,675.0,0.025863931,1181
1180,675.0,0.025895408,1191
1190,675.0,0.025924694,1201
1200,677.0,0.025953924,1211
1210,679.0,0.025984042,1221
1220,679.0,0.026020509,1231
1230,679.0,0.026054336,1241
1240,681.0,0.026124683,1251
1250,683.0,0.026162849,1261
1260,683.0,0.02625378,1271
1270,685.0,0.026310704,1281
1280,685.0,0.026395515,1291
1290,685.0,0.02646459,1301
1300,685.0,0.026517577,1311
1310,685.0,0.026551019,1321
1320,685.0,0.026583587,1331
1330,685.0,0.02661812,1341
1340,687.0,0.02665198,1351
1350,687.0,0.026686292,1361
1360,687.0,0.026718967,1371
1370,687.0,0.026756282,1381
1380,687.0,0.026812843,1391
1390,687.0,0.026844874,1401
1400,687.0,0.026954347,1411
1410,689.0,0.02700764,1421
1420,689.0,0.027045955,1431
1430,689.0,0.027083398,1441
1440,689.0,0.027194851,1451
1450,689.0,0.02731361,1461
1460,689.0,0.027359562,1471
1470,689.0,0.027405397,1481
1480,689.0,0.027448833,1491
1490,689.0,0.027484139,1501
1500,689.0,0.027524414,1511
1510,691.0,0.027564011,1521
1520,691.0,0.027606229,1531
1530,693.0,0.027647968,1541
1540,693.0,0.027694182,1551
1550,693.0,0.027737733,1561
1560,695.0,0.027776695,1571
1570,697.0,0.027814409,1581
1580,697.0,0.027852591,1591
1590,697.0,0.027887344,1601
1600,697.0,0.027920325,1611
1610,699.0,0.027954209,1621
1620,701.0,0.028087292,1631
1630,701.0,0.028119949,1641
1640,701.0,0.028151141,1651
1650,703.0,0.028182753,1661
1660,703.0,0.028216083,1671
1670,703.0,0.028249522,1681
1680,703.0,0.028286781,1691
1690,705.0,0.028323667,1701
1700,705.0,0.028366968,1711
1710,705.0,0.028405986,1721
1720,705.0,0.028441449,1731
1730,711.0,0.028479348,1741
1740,711.0,0.028519313,1751
1750,711.0,0.028555052,1761
1760,711.0,0.028593939,1771
1770,711.0,0.028628609,1781
1780,713.0,0.028665424,1791
1790,713.0,0.028698487,1801
1800,715.0,0.028732072,1811
1810,717.0,0.02878438,1821
1820,717.0,0.028827458,1831
1830,717.0,0.0288651,1841
1840,719.0,0.028900797,1851
1850,719.0,0.028936454,1861
1860,719.0,0.028970861,1871
1870,719.0,0.029001502,1881
1880,719.0,0.029051877,1891
1890,719.0,0.029084594,1901
1900,719.0,0.029117515,1911
1910,721.0,0.029164628,1921
1920,727.0,0.029219765,1931
1930,727.0,0.029282258,1941
1940,729.0,0.029390423,1951
1950,729.0,0.029443383,1961
1960,729.0,0.029492202,1971
1970,729.0,0.029555813,1981
1980,729.0,0.029602155,1991
1990,729.0,0.029656344,2001
2000,729.0,0.029698455,2011
2010,729.0,0.02974135,2021
2020,729.0,0.029779084,2031
2030,729.0,0.029818905,2041
2040,729.0,0.029858525,2051
2050,729.0,0.029891315,2061
2060,731.0,0.029923673,2071
2070,733.0,0.0299565,2081
2080,733.0,0.02999482,2091
2090,735.0,0.030034814,2101
2100,735.0,0.030071424,2111
2110,735.0,0.03011011,2121
2120,735.0,0.03014258,2131
2130,737.0,0.030174816,2141
2140,737.0,0.030208263,2151
2150,737.0,0.030239794,2161
2160,737.0,0.030272103,2171
2170,737.0,0.030304668,2181
2180,737.0,0.030337265,2191
2190,737.0,0.030371511,2201
2200,737.0,0.030405053,2211
2210,737.0,0.030441572,2221
