iterations,fitness,time,fevals
0,525.0,4.41659999999e-05,11
10,527.0,7.53259999997e-05,21
20,529.0,0.000103329,31
30,529.0,0.000135972,41
40,529.0,0.000162096,51
50,531.0,0.000213381,61
60,531.0,0.000241842,71
70,531.0,0.000271267,81
80,537.0,0.000301868999999,91
90,543.0,0.000401986,101
100,545.0,0.000439945,111
110,545.0,0.000469351,121
120,545.0,0.000529425999999,131
130,547.0,0.000623246,141
140,555.0,0.000667822,151
150,555.0,0.000702036999999,161
160,557.0,0.00073215,171
170,557.0,0.000765452,181
180,561.0,0.000814464,191
190,563.0,0.000868588,201
200,567.0,0.000896497,211
210,567.0,0.000922357,221
220,569.0,0.000950073,231
230,571.0,0.000979791,241
240,571.0,0.001013296,251
250,571.0,0.001045233,261
260,573.0,0.001079392,271
270,573.0,0.001109619,281
280,575.0,0.001155366,291
290,575.0,0.001221793,301
300,577.0,0.001252094,311
310,579.0,0.001278631,321
320,583.0,0.001305548,331
330,583.0,0.001334538,341
340,583.0,0.001365754,351
350,583.0,0.001395914,361
360,583.0,0.00143282,371
370,585.0,0.001463279,381
380,587.0,0.001491086,391
390,587.0,0.001520436,401
400,587.0,0.001550755,411
410,591.0,0.001579735,421
420,595.0,0.001608196,431
430,595.0,0.001634976,441
440,595.0,0.001662877,451
450,597.0,0.001701561,461
460,597.0,0.001751409,471
470,597.0,0.00178132,481
480,599.0,0.001808745,491
490,599.0,0.001843063,501
500,601.0,0.001874304,511
510,601.0,0.001903806,521
520,601.0,0.001933839,531
530,601.0,0.001965064,541
540,603.0,0.002012567,551
550,603.0,0.002065877,561
560,603.0,0.002124128,571
570,603.0,0.002171377,581
580,603.0,0.002230974,591
590,603.0,0.002306925,601
600,605.0,0.002343282,611
610,609.0,0.002371182,621
620,609.0,0.002413054,631
630,611.0,0.002441985,641
640,611.0,0.002470704,651
650,613.0,0.002509912,661
660,615.0,0.002538002,671
670,615.0,0.002567018,681
680,615.0,0.002616627,691
690,617.0,0.002644447,701
700,617.0,0.002671985,711
710,621.0,0.002700927,721
720,625.0,0.002729527,731
730,627.0,0.002758022,741
740,627.0,0.002788187,751
750,627.0,0.002816033,761
760,631.0,0.002846242,771
770,631.0,0.00287266,781
780,635.0,0.002898973,791
790,635.0,0.002924993,801
800,637.0,0.002952096,811
810,637.0,0.002977535,821
820,637.0,0.003008407,831
830,641.0,0.003036703,841
840,641.0,0.003062713,851
850,641.0,0.003088824,861
860,643.0,0.003116284,871
870,645.0,0.003145138,881
880,649.0,0.003170162,891
890,649.0,0.003195798,901
900,653.0,0.003228935,911
910,653.0,0.003256415,921
920,655.0,0.003282866,931
930,655.0,0.003310012,941
940,655.0,0.00333971,951
950,655.0,0.003367341,961
960,655.0,0.003393505,971
970,657.0,0.003419442,981
980,657.0,0.003444739,991
990,661.0,0.003474129,1001
1000,663.0,0.003501368,1011
1010,663.0,0.003528566,1021
1020,663.0,0.003553036,1031
1030,663.0,0.003579853,1041
1040,665.0,0.003608044,1051
1050,665.0,0.003640514,1061
1060,665.0,0.003672545,1071
1070,665.0,0.003701473,1081
1080,665.0,0.003732027,1091
1090,667.0,0.003760989,1101
1100,669.0,0.003789955,1111
1110,669.0,0.003819971,1121
1120,671.0,0.003849631,1131
1130,671.0,0.003878192,1141
1140,671.0,0.003912293,1151
1150,673.0,0.003947994,1161
1160,673.0,0.003979034,1171
1170,673.0,0.004054651,1181
1180,675.0,0.004145886,1191
1190,675.0,0.004186849,1201
1200,679.0,0.004232329,1211
1210,679.0,0.004274498,1221
1220,679.0,0.004322347,1231
1230,679.0,0.004399527,1241
1240,681.0,0.004440871,1251
1250,681.0,0.004477448,1261
1260,681.0,0.004511729,1271
1270,683.0,0.004547564,1281
1280,685.0,0.004580287,1291
1290,687.0,0.004611923,1301
1300,687.0,0.004650718,1311
1310,689.0,0.004683993,1321
1320,689.0,0.004715131,1331
1330,691.0,0.004745437,1341
1340,693.0,0.004779373,1351
1350,697.0,0.004810327,1361
1360,699.0,0.004867748,1371
1370,699.0,0.004902692,1381
1380,699.0,0.004948216,1391
1390,699.0,0.004981278,1401
1400,703.0,0.005012899,1411
1410,703.0,0.005047038,1421
1420,703.0,0.005081769,1431
1430,705.0,0.005111951,1441
1440,705.0,0.005161469,1451
1450,705.0,0.005203748,1461
1460,709.0,0.005237403,1471
1470,709.0,0.005285395,1481
1480,709.0,0.005325768,1491
1490,711.0,0.0053662,1501
1500,713.0,0.005402676,1511
1510,713.0,0.005438445,1521
1520,715.0,0.00547759,1531
1530,715.0,0.005514094,1541
1540,717.0,0.005556736,1551
1550,717.0,0.005589331,1561
1560,717.0,0.005616422,1571
1570,719.0,0.005644888,1581
1580,719.0,0.00567378,1591
1590,719.0,0.005701397,1601
1600,721.0,0.005726689,1611
1610,723.0,0.005754794,1621
1620,725.0,0.005784465,1631
1630,727.0,0.005815274,1641
1640,727.0,0.005840782,1651
1650,729.0,0.005867132,1661
1660,729.0,0.005902175,1671
1670,731.0,0.005930376,1681
1680,733.0,0.005956566,1691
1690,733.0,0.005980828,1701
1700,733.0,0.006008267,1711
1710,733.0,0.006036253,1721
1720,733.0,0.006060661,1731
1730,733.0,0.006088115,1741
1740,737.0,0.006118421,1751
1750,737.0,0.006144385,1761
1760,739.0,0.006170178,1771
1770,739.0,0.006196287,1781
1780,739.0,0.006228378,1791
1790,739.0,0.00625855,1801
1800,739.0,0.006287517,1811
1810,739.0,0.00632077,1821
1820,739.0,0.006357751,1831
1830,739.0,0.006395451,1841
1840,739.0,0.00646963,1851
1850,739.0,0.006501173,1861
1860,743.0,0.006530158,1871
1870,743.0,0.00656024,1881
1880,743.0,0.006593908,1891
1890,743.0,0.006628017,1901
1900,743.0,0.006663676,1911
1910,745.0,0.006698654,1921
1920,745.0,0.006730758,1931
1930,745.0,0.006761261,1941
1940,745.0,0.006797374,1951
1950,745.0,0.006828186,1961
1960,751.0,0.00685896,1971
1970,751.0,0.006891536,1981
1980,751.0,0.006921007,1991
1990,751.0,0.006954743,2001
2000,753.0,0.006983318,2011
2010,757.0,0.007012403,2021
2020,757.0,0.007042439,2031
2030,759.0,0.007091783,2041
2040,759.0,0.007119621,2051
2050,761.0,0.007151954,2061
2060,761.0,0.007188598,2071
2070,763.0,0.007218293,2081
2080,763.0,0.007251169,2091
2090,763.0,0.007286957,2101
2100,763.0,0.007319032,2111
2110,763.0,0.007352614,2121
2120,763.0,0.007384012,2131
2130,763.0,0.00742082,2141
2140,763.0,0.007455855,2151
2150,763.0,0.007487773,2161
2160,763.0,0.007518261,2171
2170,763.0,0.007549367,2181
2180,763.0,0.007582103,2191
2190,765.0,0.007614744,2201
2200,765.0,0.00764565,2211
2210,765.0,0.007681963,2221
2220,765.0,0.007710901,2231
2230,765.0,0.007736129,2241
2240,765.0,0.00776434,2251
2250,765.0,0.007793444,2261
2260,767.0,0.007836448,2271
2270,769.0,0.007918756,2281
2280,769.0,0.00801452,2291
2290,769.0,0.008051933,2301
2300,769.0,0.008080218,2311
2310,769.0,0.008113755,2321
2320,769.0,0.008139808,2331
2330,769.0,0.008168784,2341
2340,769.0,0.008198199,2351
2350,769.0,0.008228313,2361
2360,769.0,0.008255103,2371
2370,769.0,0.008283934,2381
2380,769.0,0.008310289,2391
2390,771.0,0.008342009,2401
2400,775.0,0.008371563,2411
2410,775.0,0.008403974,2421
2420,775.0,0.008435332,2431
2430,777.0,0.008468102,2441
2440,777.0,0.008502064,2451
2450,777.0,0.008531551,2461
2460,779.0,0.008567597,2471
2470,779.0,0.008599875,2481
2480,779.0,0.008631614,2491
2490,781.0,0.008662414,2501
2500,781.0,0.008694394,2511
2510,781.0,0.008725542,2521
2520,781.0,0.008755103,2531
2530,783.0,0.008785759,2541
2540,785.0,0.008813738,2551
2550,785.0,0.008849353,2561
2560,785.0,0.008881513,2571
2570,785.0,0.008920975,2581
2580,789.0,0.008949292,2591
2590,791.0,0.009008281,2601
2600,793.0,0.009038574,2611
2610,793.0,0.009068944,2621
2620,793.0,0.009097823,2631
2630,793.0,0.009141675,2641
2640,793.0,0.009190286,2651
2650,793.0,0.009240758,2661
2660,793.0,0.0092949,2671
2670,793.0,0.009348989,2681
2680,793.0,0.009403437,2691
2690,793.0,0.009470081,2701
2700,793.0,0.009544862,2711
2710,793.0,0.009580761,2721
2720,793.0,0.009612366,2731
2730,793.0,0.009644205,2741
2740,793.0,0.009675296,2751
2750,795.0,0.009706223,2761
2760,795.0,0.009738105,2771
2770,795.0,0.009766915,2781
2780,797.0,0.009796451,2791
2790,797.0,0.009829826,2801
2800,797.0,0.009858701,2811
2810,799.0,0.009890243,2821
2820,801.0,0.009920475,2831
2830,801.0,0.009952131,2841
2840,801.0,0.0099811,2851
2850,801.0,0.010013708,2861
2860,803.0,0.010047101,2871
2870,803.0,0.010079299,2881
2880,803.0,0.01014489,2891
2890,803.0,0.010175708,2901
2900,803.0,0.010211277,2911
2910,803.0,0.010243194,2921
2920,803.0,0.010273903,2931
2930,803.0,0.010304367,2941
2940,803.0,0.010333975,2951
2950,803.0,0.010366481,2961
2960,803.0,0.010397326,2971
2970,803.0,0.010435903,2981
2980,803.0,0.010464969,2991
2990,803.0,0.010499479,3001
3000,803.0,0.010536809,3011
